slug,in_build,status,units,group,source
springbank-distillery,yes,operating (SWA),1,J & A Mitchell,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
stannergill-distillery,yes,commissioned; outside SWA list,1,residual,https://www.thespiritsbusiness.com/2026/07/stannergill-distillery-starts-production/
starlaw-distillery,yes,operating (SWA),1,La Martiniquaise,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
stirling-distillery,no,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
stornoway-distillers-co,yes,gin / other,0,residual,https://stornowaydistillers.com/
strathclyde-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
strathearn-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
strathisla-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
strathmill,yes,commissioned; outside SWA list,1,Diageo,https://www.malts.com/en-gb/products/strathmill-12-year-old-flora-and-fauna-single-malt-whisky-70cl
talisker-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
