slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
jayne-st-distilling-co,Jayne St Distilling Co,"41 Jayne St, Florida, NY 10921, USA",NY,osm,review,80.0,name,0.167,NY-S-20167,"GILDED BUFFALO, LLC",Hartman's Distilling Co.
suti-craft-distillery,SuTi Craft Distillery,"528 W Kennedale Pkwy, Kennedale, TX 76060, USA",TX,osm,review,76.2,name,0.0,TX-S-20279,STEAM CRAFT SPIRITS LLC,
open-road-distilling-co,Open Road Distilling Co.,"1871 Fountain Dr, Reston, VA 20190, USA",VA,osm,review,72.3,name,0.0,VA-S-20153,"MOTHERWELL DISTILLING CO, LLC",Motherwell Distilling Co
simplicity-spirits-co,Simplicity Spirits Co.,"335 W 1830 S C, Salt Lake City, UT 84115, USA",UT,osm,review,78.8,name,0.2,UT-S-20025,CRAFTED WORLD BEVERAGES LLC,Simplicity Cocktails
maine-craft-distilling,Maine Craft Distilling,"148 Anderson St, Portland, ME 04101, USA",ME,osm,review,75.7,name,0.0,ME-S-20014,"PINE DISTILLING, LLC",
j-rieger-co,J. Rieger & Co.,"2700 Guinotte Ave, Kansas City, MO 64120, USA",MO,osm,review,78.3,name,0.429,MO-S-20016,"JACOB RIEGER & COMPANY, LLC",Jacob Rieger & Company
aerodrome-distilling,Aerodrome Distilling,"401 Aviation Dr, Corpus Christi, TX 78418, USA",TX,osm,review,80.0,name,0.0,TX-S-20051,"ACRE DISTILLING COMPANY, LLC",The Acre Distilling Co.
spirits-of-st-louis-distillery,Spirits of St. Louis Distillery,"1727 Park Ave, St. Louis, MO 63104, USA",MO,osm,review,84.2,name,0.143,MO-S-15012,"ST. LOUIS DISTILLERY, LLC",ST. LOUIS DISTILLERY
big-machine-distillery-tavern,Big Machine Distillery & Tavern,"2824 Bransford Ave, Nashville, TN 37204, USA",TN,osm,review,75.9,name,0.0,TN-S-20003,TENN SOUTH DISTILLERY LLC,Big Machine Distillery
green-river-distilling-co,Green River Distilling Co.,"10 Distillery Rd, Owensboro, KY 42301, USA",KY,osm,review,74.4,name,0.0,KY-S-20073,"COAST 2 COAST CATTLE & LAND COMPANY, LLC",Pensive Distilling Company
vermont-spirits,Vermont Spirits,"5573 Woodstock Rd, White River Junction, VT 05001, USA",VT,osm,review,82.4,name,0.0,VT-S-20024,VERMONTSKI SPIRITS LLC,
american-distilling,American Distilling,"31 E High St, East Hampton, CT 06424, USA",CT,osm,review,70.0,name,0.125,CT-S-20038,"CLARK BROTHERS DISTILLERY, LLC",Clark Bros Distilling
high-mark-distillery-high-mark-barrel-house,High Mark Distillery /High Mark Barrel House,"4690 Longley Ln # 28, Reno, NV 89502, USA",NV,osm,review,81.5,name,0.429,NV-S-20025,"HIGH MARK DISTILLERY, INC.",High Mark Barrel House
